"","x"
"1","1"
"2","0"
"3","0"
"4","0"
"5","0"
"6","0"
"7","0"
"8","1"
"9","1"
"10","0"
"11","0"
"12","0"
"13","1"
"14","1"
"15","1"
"16","0"
"17","1"
"18","0"
"19","0"
"20","0"
"21","1"
"22","1"
"23","0"
"24","0"
"25","1"
"26","1"
"27","0"
"28","1"
"29","1"
"30","0"
"31","0"
"32","1"
"33","1"
"34","0"
"35","1"
"36","1"
"37","1"
"38","1"
"39","1"
"40","1"
"41","0"
"42","0"
"43","1"
"44","0"
"45","0"
"46","0"
"47","0"
"48","1"
"49","0"
"50","0"
"51","0"
"52","0"
"53","1"
"54","0"
"55","0"
"56","0"
"57","0"
"58","0"
"59","1"
"60","1"
"61","0"
"62","0"
"63","1"
"64","0"
"65","1"
"66","0"
"67","0"
"68","0"
"69","0"
"70","1"
"71","1"
"72","0"
"73","0"
"74","1"
"75","0"
"76","0"
"77","0"
"78","1"
"79","0"
"80","0"
"81","1"
"82","0"
"83","0"
"84","0"
"85","1"
"86","0"
"87","0"
"88","0"
"89","0"
"90","1"
"91","0"
"92","1"
"93","0"
"94","1"
"95","0"
"96","0"
"97","0"
"98","0"
"99","0"
"100","0"
"101","0"
"102","0"
"103","0"
"104","1"
"105","0"
"106","0"
"107","0"
"108","0"
"109","0"
"110","0"
"111","0"
"112","0"
"113","0"
"114","0"
"115","0"
"116","0"
"117","1"
"118","0"
"119","1"
"120","0"
"121","0"
"122","0"
"123","0"
"124","1"
"125","1"
"126","0"
"127","0"
"128","0"
"129","0"
"130","1"
"131","0"
"132","0"
"133","0"
"134","0"
"135","0"
"136","0"
"137","1"
"138","1"
"139","1"
"140","1"
"141","1"
"142","0"
"143","0"
"144","1"
"145","0"
"146","0"
"147","1"
"148","0"
"149","1"
"150","0"
"151","1"
"152","1"
"153","1"
"154","0"
"155","0"
"156","1"
"157","0"
"158","0"
"159","1"
"160","1"
"161","1"
"162","1"
"163","0"
"164","0"
"165","1"
"166","0"
"167","1"
"168","0"
"169","0"
"170","0"
"171","0"
"172","1"
"173","1"
"174","0"
"175","0"
"176","1"
"177","0"
"178","0"
"179","1"
"180","1"
"181","1"
"182","0"
"183","0"
"184","0"
"185","0"
"186","0"
"187","1"
"188","1"
"189","0"
"190","1"
"191","1"
"192","0"
"193","1"
"194","1"
"195","0"
"196","0"
"197","0"
"198","0"
"199","0"
"200","1"
"201","0"
"202","1"
"203","1"
"204","1"
"205","0"
"206","0"
"207","1"
"208","0"
"209","0"
"210","1"
"211","1"
"212","0"
"213","1"
"214","0"
"215","1"
"216","1"
"217","1"
"218","0"
"219","1"
"220","0"
"221","1"
"222","1"
"223","0"
"224","1"
"225","1"
"226","0"
"227","1"
"228","0"
"229","1"
"230","1"
"231","1"
"232","1"
"233","0"
"234","1"
"235","0"
"236","0"
"237","0"
"238","0"
"239","0"
"240","0"
"241","1"
"242","0"
"243","0"
"244","0"
"245","0"
"246","1"
"247","0"
"248","1"
"249","1"
"250","1"
"251","1"
"252","0"
"253","0"
"254","1"
"255","0"
"256","0"
"257","0"
"258","0"
"259","0"
"260","0"
"261","0"
"262","0"
"263","0"
"264","0"
"265","0"
"266","1"
"267","0"
"268","0"
"269","0"
"270","0"
"271","1"
"272","0"
"273","1"
"274","0"
"275","0"
"276","1"
"277","0"
"278","0"
"279","0"
"280","1"
"281","1"
"282","1"
"283","1"
"284","0"
"285","0"
"286","0"
"287","0"
"288","1"
"289","0"
"290","1"
"291","1"
"292","1"
"293","0"
"294","0"
"295","0"
"296","1"
"297","1"
"298","0"
"299","0"
"300","0"
"301","0"
"302","0"
"303","0"
"304","1"
"305","0"
"306","0"
"307","0"
"308","0"
"309","1"
"310","0"
"311","1"
"312","1"
"313","0"
"314","0"
"315","1"
"316","0"
"317","0"
"318","1"
"319","1"
"320","0"
"321","0"
"322","0"
"323","1"
"324","1"
"325","1"
"326","0"
"327","0"
"328","1"
"329","0"
"330","1"
"331","0"
"332","0"
"333","1"
"334","0"
"335","1"
"336","1"
"337","1"
"338","1"
"339","1"
"340","0"
"341","0"
"342","0"
"343","1"
"344","0"
"345","1"
"346","0"
"347","1"
"348","0"
"349","0"
"350","1"
"351","0"
"352","1"
"353","0"
"354","1"
"355","1"
"356","0"
"357","1"
"358","0"
"359","0"
"360","1"
"361","1"
"362","0"
"363","0"
"364","1"
"365","1"
"366","0"
"367","0"
"368","0"
"369","0"
"370","1"
"371","0"
"372","1"
"373","0"
"374","0"
"375","1"
"376","0"
"377","0"
"378","1"
"379","0"
"380","0"
"381","1"
"382","1"
"383","0"
"384","0"
"385","1"
"386","0"
"387","0"
"388","0"
"389","0"
"390","1"
"391","1"
"392","0"
"393","1"
"394","0"
"395","0"
"396","0"
"397","0"
"398","1"
"399","1"
"400","1"
"401","0"
"402","0"
"403","1"
"404","1"
"405","0"
"406","0"
"407","1"
"408","1"
"409","1"
"410","1"
"411","1"
"412","0"
"413","0"
"414","0"
"415","0"
"416","1"
"417","0"
"418","1"
"419","0"
"420","0"
"421","0"
"422","0"
"423","1"
"424","1"
"425","1"
"426","0"
"427","0"
"428","1"
"429","0"
"430","1"
"431","0"
"432","0"
"433","0"
"434","0"
"435","0"
"436","1"
"437","1"
"438","0"
"439","0"
"440","1"
"441","0"
"442","0"
"443","1"
"444","1"
"445","1"
"446","1"
"447","0"
"448","0"
"449","1"
"450","1"
"451","0"
"452","1"
"453","0"
"454","1"
"455","0"
"456","1"
"457","0"
"458","0"
"459","0"
"460","0"
"461","1"
"462","0"
"463","1"
"464","0"
"465","0"
"466","1"
"467","0"
"468","1"
"469","1"
"470","0"
"471","0"
"472","0"
"473","0"
"474","0"
"475","1"
"476","1"
"477","0"
"478","1"
"479","0"
"480","0"
"481","1"
"482","1"
"483","0"
"484","0"
"485","1"
"486","0"
"487","1"
"488","0"
"489","0"
"490","1"
"491","0"
"492","1"
"493","1"
"494","0"
"495","1"
"496","1"
"497","0"
"498","1"
"499","0"
"500","1"
"501","1"
"502","0"
"503","0"
"504","0"
"505","0"
"506","1"
"507","1"
"508","1"
"509","0"
"510","0"
"511","1"
"512","0"
"513","1"
"514","0"
"515","0"
"516","0"
"517","0"
"518","0"
"519","0"
"520","1"
"521","1"
"522","0"
"523","0"
"524","0"
"525","0"
"526","1"
"527","1"
"528","1"
"529","0"
"530","0"
"531","0"
"532","0"
"533","1"
"534","0"
"535","0"
"536","0"
"537","1"
"538","1"
"539","0"
"540","0"
"541","0"
"542","0"
"543","0"
"544","0"
"545","1"
"546","0"
"547","1"
"548","0"
"549","0"
"550","0"
"551","0"
"552","0"
"553","0"
"554","1"
"555","0"
"556","1"
"557","0"
"558","0"
"559","1"
"560","1"
"561","0"
"562","0"
